outcome,Otu00001,Otu00002,Otu00003,Otu00004,Otu00005,Otu00007,Otu00008,Otu00009,Otu00010,Otu00011,Otu00012,Otu00014,Otu00015,Otu00016,Otu00017,Otu00019,Otu00021,Otu00025,Otu00028,Otu00034,Otu00035,Otu00036,Otu00040,Otu00042,Otu00050,Otu00051,Otu00075,Otu00091,Otu00117
nondiarrheal_control,0.1434,0.0024,0.0128,0.1064,0,0,0.0016,0,2e-4,0,0.0016,0.0338,0.161,0,8e-4,0,2e-4,0.0034,0.0438,0.0176,0.0036,0.0588,0.0018,0.0016,0.021,2e-4,0.045,0.0232,0.0014
nondiarrheal_control,0.434,0.3252,0.1002,0.0044,0.0134,0,0.0018,0,0,8e-4,8e-4,0.0122,6e-4,0.001,0,0.0028,0,0.0012,4e-4,8e-4,2e-4,0,0,0.0038,0,0,2e-4,2e-4,0
case,0.313,0.0862,8e-4,0,0,0.133,0.183,0.0012,2e-4,0,0.0744,0,0.0082,0.0084,2e-4,0,0,0,0.007,0,0,0,0.002,0.0348,0.0012,0,0,0,2e-4
nondiarrheal_control,0.0016,0.3206,0,0,0,2e-4,2e-4,0.0016,6e-4,0.067,0,0,0.0076,0,2e-4,0,0.004,0.002,0.013,0.0056,0.0086,4e-4,0,0,0,6e-4,0.0074,2e-4,0.0158
nondiarrheal_control,0.1814,0.125,2e-4,0.1108,0.0076,0.0268,0.0288,0,0.0064,0,0,0.0112,0,0.0018,0.0178,0.001,0.0102,0.0018,0.0032,2e-4,0.0202,0.003,0.0068,8e-4,0.0052,2e-4,0,2e-4,0
nondiarrheal_control,4e-4,0,0,0.1636,2e-4,0.138,4e-4,0,0.1334,0.0748,0,0,0.0036,0.0042,0,0.2114,0,0.0048,2e-4,0.0038,0.0246,0.0136,0.0014,0,0.0268,0.0026,0.0124,0.003,0.004
nondiarrheal_control,0.0476,8e-4,0.0024,0.0522,2e-4,0.062,0.1978,0.0046,0.1346,0,0.0652,0,0,0.0552,0,0,6e-4,2e-4,0.0022,4e-4,0,0.0064,0,8e-4,0.0024,0.0076,2e-4,0,0.0012
nondiarrheal_control,0.0388,0.06,4e-4,0.0108,6e-4,0.0088,4e-4,0,2e-4,0.0676,0,0,0,0.0036,0,0,0,0.0224,0,0,0.0058,0.001,0.002,2e-4,4e-4,0,2e-4,0,0
case,0.21,0.1364,2e-4,0.001,0,0.0604,0.1454,0,0.0682,0,0,0.1676,0.007,0.032,0,0,0.0552,0,0.0046,0.0422,2e-4,0,0,0.0036,0,0.0028,0,6e-4,0
case,0.0014,0.2286,0.2776,0.001,0.004,0.0032,0,0.0024,0.013,8e-4,2e-4,0,8e-4,6e-4,0.002,0,0.005,6e-4,0,2e-4,2e-4,0.0014,8e-4,0,0,4e-4,0,0,0
nondiarrheal_control,0.0702,0.0842,0.063,0.0204,0.0024,0.0088,0.045,0,0,0.0036,0.0184,2e-4,0.0176,0.0052,0.023,0.1168,2e-4,0.0076,0.0024,0.0016,0.0094,0.0068,0.0342,0.0104,0.0128,0.002,4e-4,2e-4,2e-4
nondiarrheal_control,0.023,0.0126,0.1148,0.0188,0.0012,0.0064,0.0276,0,0.079,0.0166,0.0186,0,0,0.0078,0.0392,0.004,0,0.0104,0,0,0.0176,0.001,0.0134,0,0.0062,0,0.0032,0,0.001
nondiarrheal_control,0.174,0,0,6e-4,2e-4,0,0.021,0,0.1666,0.1204,0.0054,0.092,0.0026,0,0,0,0.003,0,8e-4,0,2e-4,0.0014,0.0078,0.001,2e-4,4e-4,0.003,0,0.0058
nondiarrheal_control,0.1214,0,4e-4,0.1384,0,0,0.12,0.0792,0,0,0.2086,4e-4,0,0,0.0812,4e-4,0,0,0,0,0,0,0,0.001,0,0,2e-4,0,0.0014
nondiarrheal_control,0.3882,6e-4,2e-4,0.1938,0.0072,0.0404,0.0642,0,0,0.0192,2e-4,0,0,0.0152,0,0,0.0026,0.0106,0.0028,8e-4,0.0076,2e-4,0.005,0.0018,0.0012,0.002,0,0,0.0012
case,0.0394,0.05,2e-4,0.0154,0,0.104,0.0304,0,0,0.0668,0.0094,0.01,0.0678,0.0614,0.0078,0.0342,0.0288,0,4e-4,0.0154,0.0244,0.0034,0.001,2e-4,0.005,0,0,0,0
case,0.3318,0.0498,0.0066,0.0682,0.2232,0,0,2e-4,0,4e-4,0,0,0.005,0,0,0,2e-4,0.0708,0,0.0022,0.0014,0,0,0.0024,0,0,0.0022,6e-4,0
case,0.542,0.1018,0,2e-4,0.0034,0,0,4e-4,0,0.0664,0,0,0.0016,0,0,0.0042,0.0022,0.005,2e-4,6e-4,2e-4,2e-4,0,0.0946,6e-4,2e-4,0,4e-4,0
case,0,0,2e-4,0.028,0.0148,0.0468,0.1126,0,4e-4,4e-4,0.0448,0.1456,0.002,0,0,0,0.0066,0.0772,0.0014,0.0016,0.0178,0.0026,0.031,0,4e-4,0.0036,2e-4,0,6e-4
case,0.4134,2e-4,0,0.0454,6e-4,2e-4,2e-4,0.0014,0,0,0,0.0506,0.0052,0.0074,0,0,0.0614,2e-4,0.0426,0.0102,2e-4,0.0504,0,0.0028,2e-4,0.0074,0,0.0018,0
case,0.2664,2e-4,2e-4,0.0214,8e-4,0.0084,0.0056,0,0,2e-4,0,0.2966,0.0052,8e-4,0.0122,0,2e-4,0.0426,2e-4,0.0018,0.0192,6e-4,0,0.0296,0.0032,4e-4,0.0024,0,0
case,0.1388,0,0,0.0492,0,0,0.029,0,0.155,0.0036,0.0504,0.1354,0.0066,0.05,0.1288,0.0308,0.0086,0,0.0076,0.0012,0.0036,0,0,0.0174,0.0034,0,0,0.0018,0
case,0.224,0,0,0.0282,6e-4,0.0304,4e-4,0,0.1202,4e-4,0.0826,0.0844,0.0054,0.0152,0.0426,2e-4,0,2e-4,0,0.0072,0.0048,6e-4,0.021,0.0016,0,0.0014,0.0018,0,0
case,0.1756,0.0274,0.1064,0,0,0.0672,0.196,0.001,0.1076,0,0.0442,0,0,0,0.0086,0,0.0666,0.0628,0.0012,0.0042,0.0146,0,8e-4,6e-4,0,0,0.0012,2e-4,0
case,0.179,4e-4,6e-4,0.0994,0.0034,0.0466,0.122,0.0036,0,0.0966,0.0062,0.0418,0.003,0.0198,0.0024,0.003,2e-4,4e-4,0.0054,0.0014,0.0014,0.0016,0.0016,0.002,2e-4,0.0012,0.002,0,0.0014
case,2e-4,0.1758,2e-4,0,0.002,0,0.0264,4e-4,0,0,0.013,0,0.0172,0.0722,0.0108,0,6e-4,0,0.0456,0.0022,0,0.0012,0,0,4e-4,0,2e-4,0.0016,0
case,0.0012,0.0022,0,0.0136,0.0012,0.0276,8e-4,0.0532,0,0,0,0,0.0082,0,0,0,0.0088,0,4e-4,0.0012,0,0,0,0,2e-4,0.001,0,0,0
case,8e-4,0.1582,2e-4,0.0168,0.0212,0.0198,0.1126,0,0,0,0.0088,0,0,0,0.0018,0.0598,0,0,0,0,0,0.0048,0.0228,0,0.001,0.0054,0,0,0
case,0.0026,0,0.0386,0,0,0,0.0848,0.0514,0,4e-4,0.0422,0.3274,0.0058,0.079,2e-4,2e-4,0,0,0,0,2e-4,2e-4,0,0,0,0.0662,0,0,0
nondiarrheal_control,0.1834,0.1336,0.0108,0,4e-4,0,0.0832,0,0,0.0572,0,0,8e-4,0.016,0,0.0836,8e-4,0.0072,4e-4,0.002,0.0036,0,0.0044,0.001,4e-4,0,0.0014,2e-4,2e-4
nondiarrheal_control,0.0692,0.2158,4e-4,0.1038,0.0092,0.0846,0,0.0022,0,2e-4,0.1066,0,0.0078,0,0,0,0.0036,0,0.0108,0.006,0.0048,0,2e-4,0.0014,0,0.0072,0,0.0014,0
case,4e-4,4e-4,0.3818,2e-4,0.0012,4e-4,0,0.1162,0,0,2e-4,0,0.0256,0,0,0,0.0488,0,0,0.0646,0,0.0042,0,0,0,2e-4,0,0,0
case,0.1858,0.0912,2e-4,0.0184,0.0012,0.049,2e-4,0,0,0.0098,0.0358,0.0474,0.0326,0,4e-4,2e-4,0.069,0,0.0246,0.0092,0.005,2e-4,0.0192,0.002,0,0.003,0.0038,0.0018,0
nondiarrheal_control,0.0318,0.0064,0,0.013,0,0.013,0.0302,0,0.0012,2e-4,0.0416,0.0132,0.007,0.0608,0.007,2e-4,0.0442,0,2e-4,0,0.0012,0.019,0.005,0.0048,0.003,0.0012,0,4e-4,2e-4
nondiarrheal_control,0.4084,0.0246,0.002,0.1012,0.0586,0,0,0,0,0,0,0,0.071,0.043,4e-4,0,0.0026,0,0,8e-4,0.0032,6e-4,0,0.0028,0.0042,0.0096,0,0.0018,0.0016
case,6e-4,0.373,0.0034,0,0.2472,0,6e-4,0.0032,0,2e-4,2e-4,0.0018,0.0394,4e-4,0,0,0.031,0.0112,0,0,0.0014,0.027,0,0,0,2e-4,0.0992,0.013,0
case,0.1892,0.006,0.01,0.0672,0.0752,0,0,0,4e-4,0.0086,0,0.0502,0.0064,0,0.268,0,0.0054,0.0168,0,0,0,0,0.0502,0.0048,0.0138,0.0012,0,0,0
case,0.0014,0,0.4758,0,0,0,2e-4,0.2426,2e-4,8e-4,6e-4,0,4e-4,0,0,2e-4,0,0,0,0,0,0,6e-4,0,0,0,0,0,0
case,2e-4,0.0638,0.0094,2e-4,0.02,2e-4,0,0.0018,0,0,0,0,0.01,0,0,0,0.0802,0,0.014,0.0076,0.108,0,0,0,0.0106,0.0362,0,0.0016,0.0042
case,0,0,0.018,0,0.0442,0.165,0.1664,0.0042,0,0,0.055,2e-4,0.0056,2e-4,0,0,0,0.024,0,0.0118,0,0.0434,0.0392,0,0,0.0018,0,0.018,0
case,0.2336,0.1254,0,0.2176,0.008,2e-4,0,0,2e-4,0,0.0236,2e-4,0.0132,0.0504,2e-4,0,0,0,2e-4,0.0058,0.047,0,0,0.0024,0,2e-4,0,2e-4,0
case,0.0364,4e-4,0,0.0078,0,0,0.152,2e-4,0,0.003,0.0046,0.0264,0.003,0.0048,0.012,0.0094,4e-4,8e-4,4e-4,8e-4,0.0028,0.0068,0.0468,2e-4,4e-4,0,0,8e-4,2e-4
case,0.453,0.0074,0.1326,0.001,0.0706,0.0018,0.001,0.001,4e-4,8e-4,8e-4,0.001,0.0032,0.0016,6e-4,2e-4,0.0262,0.001,0,0,0,2e-4,6e-4,0.0056,0,0.0036,2e-4,0,0
case,2e-4,8e-4,0.207,0,4e-4,6e-4,2e-4,0,0,0,0,8e-4,0.0612,2e-4,0,0,0.007,2e-4,0.0094,0.0064,0,0,0,0,0,0.0154,0,0.0094,0
nondiarrheal_control,0.02,0.0338,0.1634,0.0036,0.0044,0,0.2754,0.0062,0,4e-4,0.001,0,0.0918,0.0024,0,0,0,0,0.1352,0.0076,0,0,0,0,0,0,0,0.0494,0
nondiarrheal_control,0.1798,6e-4,0,0.1232,0,0.0108,0.0536,0,0.0994,0.0452,0.023,0,0.0082,0.002,0.0814,0,0,0,0,0,0,2e-4,8e-4,0.002,0.0072,0.0018,0.0034,8e-4,0.0058
nondiarrheal_control,0.0824,0,2e-4,0.0566,2e-4,0.0202,0.0194,0,0.0572,0.0344,0,0.2766,0.0212,0.003,2e-4,0.0462,0.0012,4e-4,0.0058,0.0048,0.0078,0,4e-4,2e-4,0,2e-4,0,4e-4,0.0034
nondiarrheal_control,0.2606,0,0.0358,0.0576,0,0.0414,0.0758,0,2e-4,0.0094,0.0108,0.112,6e-4,0.0112,0,0.0106,0.0062,0.0032,0,0,0.0596,0.028,0.0052,0.001,0.0404,6e-4,0,0,0.0012
nondiarrheal_control,0.0266,8e-4,0.0084,0.0238,0.0014,0,0.0064,0,0.0564,0.2408,0.001,0.0064,0.0132,0.0014,0.0076,2e-4,4e-4,0.022,8e-4,0.0028,0.0908,0.001,0.016,0.001,0.0044,0,0.0168,0,0
nondiarrheal_control,0.1278,0,0,0.0122,8e-4,0.0164,0.079,0,0.0638,0.0656,0,0.033,0,0.0132,0.005,0.007,0.012,0.0296,0,0,0.0026,0.001,0.0216,4e-4,0.0018,0,0.0018,0,0.0026
case,0,0.2536,2e-4,0,0,0,0,0.0068,0.0464,0,0,0,0.0048,0.0602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nondiarrheal_control,2e-4,0,0,0,0.0016,0,2e-4,0,0,0,2e-4,0,0.0824,0,0,2e-4,0.025,0,0.026,0.0528,4e-4,2e-4,0.265,0,0.0152,0.0308,0,0.0026,0
nondiarrheal_control,0.0876,0.0014,0,0.0318,4e-4,0.0102,0.036,0,0,0.0566,0.0138,2e-4,0,0.0122,0.0146,0.0158,0,0.0036,2e-4,0,0.0098,0.0024,0.0214,0.0016,0.005,2e-4,0.003,6e-4,0.001
nondiarrheal_control,0.1584,0.0026,0.0014,0.019,2e-4,0.0782,0.1272,0,0.099,0,0,0,0.0096,0,0,0,2e-4,0.008,0.0012,0.0026,0.0064,0.002,0.0196,4e-4,8e-4,0,4e-4,4e-4,0.0014
case,0.005,0.0038,0,0.0766,8e-4,2e-4,2e-4,0.8688,8e-4,0,0,4e-4,0.0138,0.0028,0,2e-4,2e-4,0,2e-4,0,0,0,2e-4,2e-4,2e-4,6e-4,0,2e-4,2e-4
case,0.0032,0.0158,0.1228,4e-4,0.0028,0,0.0664,2e-4,0,2e-4,0,0,0.065,8e-4,0,0,0,0,0.0528,0.0044,4e-4,2e-4,0,0,0,0,0,0.0282,0
case,0.0192,0,0,0.0068,0,0.006,0.0022,0.1152,2e-4,0,0.0238,2e-4,0,0.2088,0.0034,0.0094,0,0,0,0.0038,0,0,0.0132,4e-4,0,0,0,0,0
case,2e-4,0.0226,0.019,0,6e-4,0.3504,4e-4,0.0022,0,2e-4,2e-4,0,0.0078,2e-4,2e-4,0,0.003,8e-4,0.0024,0.0038,0.0564,0,0,0,0.0818,0.005,0,0.0018,0
case,0.0094,0.003,2e-4,4e-4,2e-4,0.002,0.0022,2e-4,0.0042,0.008,4e-4,0,0.559,0.0614,0.0016,0,0.0608,0.0056,0.034,0,0.002,0.0016,0,0,0,0.0024,0,0.002,0
case,0.2076,4e-4,0.0448,2e-4,0,0,6e-4,0.0058,0,0,0,0,0.1006,2e-4,0,0,0.0198,0,0.0204,0.0218,2e-4,0,0,0.0022,0,4e-4,0,0.0112,0
nondiarrheal_control,6e-4,0.1986,0.0012,0.409,0,0,0,0.1222,0,0,0,0,0,0,0,0,0.0194,0.0206,0.0012,4e-4,0.0076,0.0014,2e-4,4e-4,0.005,0.0076,0,0,0
nondiarrheal_control,0.291,0,0,0.0612,0.0032,0.0464,0.1042,0,0.1386,0.0444,0.0096,0,0.0012,0.0102,0.03,0,0.001,0.0118,0.0012,0.0046,0.0128,0.002,0,0.0058,0.0076,0,0.002,2e-4,0.0024
nondiarrheal_control,0,0.1024,0.0026,0.1536,0.172,0,0,2e-4,2e-4,0,0,0,0.0066,0.1306,0,0,0,0,0.0014,0.0036,0,2e-4,0,2e-4,0,0,4e-4,0,0
nondiarrheal_control,0.0474,0,0.054,0.0066,0,0.0024,0.0178,0,0.0274,0.0014,0,0,0.0068,0.0066,0.0156,0.1808,2e-4,0,0.0164,0.0082,0.0062,0.004,0.0048,4e-4,0.02,0.0016,6e-4,0.0016,8e-4
nondiarrheal_control,2e-4,0.001,2e-4,4e-4,6e-4,2e-4,0,0,0,0,0,0,0.0108,0,0,0,0.0068,0.02,0.0098,0.0084,0.023,0,0,0,0.0454,0.0024,0,0.0014,8e-4
nondiarrheal_control,0,0.0048,0,0.0654,0.001,0.0684,0.0818,0,0,0.1048,0,0,0,0.031,0.067,8e-4,0.0094,0.0028,2e-4,0,0.0062,0,0.0118,0,0.002,0,0.0018,0,2e-4
nondiarrheal_control,0.1402,0.0034,6e-4,0,0.0014,0.0242,0.0618,0,0.021,0.0512,0,0,4e-4,0.0148,0.0194,0.0258,4e-4,0.0036,0.001,0.0012,0.0018,0.0012,0,0.0098,2e-4,0,0.0016,0,0.0012
case,0.174,0.0238,0.002,0,2e-4,0.1356,0.3238,6e-4,0,0,0,0,0.024,0,0,0,0,0.0264,0.0274,0.0106,0.008,0,0,2e-4,0,0.0068,0.0044,0.001,0
case,0.0476,0.1492,2e-4,0.0346,0.0084,0.1396,0.0476,0,0,0.2044,0.015,0,0.002,0.0074,0,0,0.0124,0,0.0032,0.0072,0.0018,0.0088,0,0,0.0024,0,0,0,0
nondiarrheal_control,0.351,0.0022,0.0264,0.1988,0.019,0,0,0,2e-4,0.0734,0,0,0,0,0,0,0.0582,0,2e-4,0,2e-4,0.003,0,0.0036,0,0.0028,0,0,0
nondiarrheal_control,0.0454,2e-4,2e-4,0.0098,0.001,0.0052,0.0356,0,0.1068,0.0908,0.0148,0.0232,0,0.0224,0.0092,0.0066,8e-4,0.002,2e-4,2e-4,0.0148,0.0022,0.0022,2e-4,0.0056,2e-4,0.0016,0,0.0018
nondiarrheal_control,0.4314,0.0104,0,0,0.0766,0,0,2e-4,0,0.0362,0,0,0.0026,0,0,0,0.0018,0.0618,0.0014,4e-4,0.0056,0,0,0.0036,0,0.0012,0.002,2e-4,0
case,8e-4,0.1424,0.01,0.001,0.0022,0,2e-4,0.0092,0,0,0,0,0,0,0,0,0,2e-4,0,0,0,0,0,0,0,0,0,0,0
case,0,0.4686,0.0302,0,0.0218,4e-4,6e-4,0,0,6e-4,0,2e-4,0.0086,0,2e-4,0,0.10780000000000001,0,2e-4,0.0018,0,0,0,0,0,0.0488,0,0.003,0
case,0.2914,0.2008,0,0.0184,0,0.1428,0.0324,0.034,0,0,0.0896,0.0046,0.0358,0,0,0,0.0096,0,0.017,0,0,0,0,0.003,0.0122,0.0032,0,0.002,0
case,0.185,0.0098,0,0.0086,0,0.0262,0.0662,0,0,0.084,0.0734,0.0152,0.0016,0,0,0.011,6e-4,0.0234,0,6e-4,0.0198,0.0016,0,0.0018,0.0062,0,0,2e-4,0.0012
case,0.2204,4e-4,0.0384,0.1144,0.0162,0.1822,0.0094,0.0062,0,2e-4,0,0,0.025,2e-4,0,2e-4,0.0066,0,0,0.002,0,0,0,0.0986,0,0.0182,0,0,0
case,8e-4,0.2596,0.0512,4e-4,0.0826,0,2e-4,2e-4,2e-4,0,2e-4,0,0.04,0,2e-4,0,0.2182,4e-4,0.0064,0,2e-4,0,0,0,0,0,0,0,0
case,0.2758,0,0.1158,0.0642,0.0124,0.0334,0.0182,0,0.0342,0.0108,0,0,2e-4,0.0402,0.0352,0,0.017,0.0774,0.0028,0.014,0.0094,2e-4,0,0.0018,0,4e-4,0.0052,0,4e-4
case,0.371,6e-4,0.0018,2e-4,0.0664,0,0,0,2e-4,0,0,0,0.0046,0.0794,0,0.0354,0,6e-4,0.001,0.0112,0.0126,0,0.0308,0.0058,0,0.0032,0,0,0
case,0.3002,0.0302,2e-4,0,0.0274,0,0.1702,0,2e-4,0,2e-4,2e-4,0.0084,0,0,0,0.0024,0.0842,0.0032,0.0198,0.009,4e-4,0,0.0056,0,0.001,0.0034,0,0
nondiarrheal_control,0.1502,0.1776,2e-4,0.0088,0,0.002,0.1618,0,0.073,0,0.0116,0,0.0194,0.0348,0.0208,0.0356,0.001,0.0072,2e-4,8e-4,0.0022,0.005,0,0.002,0.0132,0,4e-4,2e-4,0.0074
nondiarrheal_control,0.0902,0.0604,0,0.1374,4e-4,0.0072,0.1056,0,0.136,0.0014,0.008,0.002,0.0016,0.0268,0,0.017,0.0028,0.0078,0,0,0.0098,0,0.0066,8e-4,0.0028,0,0.001,2e-4,2e-4
nondiarrheal_control,0.0014,0.001,0,0,0.035,0,0,0.1076,0,0,0,0,0,2e-4,0,2e-4,2e-4,0,0.1324,0,0,0,0,6e-4,0.0276,0,0,0,0
case,0.1042,8e-4,0.0186,0.0886,0.0046,0.126,0,0.0016,0,0,0,0,0,0,0,2e-4,0,0,0,2e-4,0.0124,0,0,0.001,0,0,0.0056,0.0498,0
case,0,0.0642,0.3898,0,0.3596,0,2e-4,0.0348,2e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
case,0.395,0.0422,0,0.1502,0.0012,0.1094,0,0,0,0.047,0,0,0.0056,2e-4,0,0,0.0056,0,0.0054,0.0044,0.0076,0.0058,0,0.0044,0,8e-4,0,2e-4,0
case,0.6766,0,0,0,0,2e-4,0,0,0,0,0,0,0.0924,0,0,0,0.0028,0,0.113,0.0056,0,0,0,0.0106,0.0042,0.0046,0,0,0
case,0.0144,0.104,0.0486,2e-4,0.2184,0,0,0.0148,0,0,0.366,0.002,0,0.0688,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0
nondiarrheal_control,6e-4,0.1396,0.0078,0.033,2e-4,0,0.002,0.002,0.0156,2e-4,0.1174,0,0.0116,0.0054,0,0,0.0058,0,0,0,0,0,0.057,0,0,0.0036,0,0,0
nondiarrheal_control,0.1074,0.1144,2e-4,0.0586,0.0032,0.0584,0.0112,0,0.0832,0.0232,0.003,0.0344,0.002,0.0066,0.0114,0,8e-4,0,0.0018,6e-4,6e-4,0,0,8e-4,0.0012,2e-4,0.0054,8e-4,0.0032
nondiarrheal_control,0.3944,0.0264,0.0178,0.0694,4e-4,0.0156,0,0,0,0,0,0.0042,0.028,0,0,0,4e-4,0,0,0,0,0,0,0.0116,0,0.0012,0,4e-4,0
nondiarrheal_control,0.405,2e-4,0.0216,0.0902,0.0212,0.0746,0.043,0,2e-4,0.0048,0,0,0.0028,0,0,0,0.0116,0,0.002,8e-4,0,0,0,0.002,0.0068,0.001,0.0094,8e-4,2e-4
nondiarrheal_control,0.0036,6e-4,0,6e-4,0.0102,2e-4,0,0.8016,6e-4,0,2e-4,0,0,0,0,0,0,4e-4,0,2e-4,0,0,0,0,0,0,0,0,0
nondiarrheal_control,0.0072,0.1474,0.0198,0.0576,0,0.0056,2e-4,0.0248,0.0016,8e-4,0.0204,0,0.0418,0.0018,0.0026,0,0.002,2e-4,0,0,0.0012,0,0.0476,0,0,0.0016,0,0,0
case,0.0012,2e-4,0,0.0088,2e-4,0.0222,0.0032,6e-4,0.0542,0,0.3232,0,0,0.3294,4e-4,0.0012,0,0,0,4e-4,0,0,0.0018,0,0,0,0,0,0
case,6e-4,0.0496,0.0022,0,0.132,0,0,8e-4,0,0,0,0,0.0078,0,0,0,0.0316,0.0824,0,0.044,0,0,0,0,0,0.025,0,0,0
case,6e-4,2e-4,0.0018,0.0494,0.0222,0.114,0.1052,0,0,0,0.0172,0,0.014,0.0626,0,0,6e-4,0,2e-4,0.01,0.0268,0.0072,0.0054,0,0,4e-4,0,0,2e-4
case,0,0.252,0.0514,0.392,6e-4,0,0,0.0012,0,0,0,0,0.0464,0,0,0,0.0098,0,0,0.0394,0,0,0,0,0,0.0158,0,0.002,2e-4
case,0.29,0.0164,0,0.024,0.0342,0.0596,0.0132,0,0.0112,0.0282,8e-4,0.0108,0.0112,0.042,0.0038,6e-4,0.0312,0,0.0028,0.01,6e-4,0.0228,0.0024,0.0022,0,0,0.0036,6e-4,0
case,2e-4,0.0772,0.0024,0,0.0716,0,0,2e-4,0,0,0,0,4e-4,0,0,0,0.0746,0,0,2e-4,0,0,0,0,0,0.0058,0,4e-4,0
case,0,0.2018,0.001,0,0,0,2e-4,0.0268,0.1498,0,0,0,0,0,0,0,0,0,0,0,0,2e-4,0,0,0,0,0,0,0
case,0.0232,0.1238,0.0018,0.0144,8e-4,4e-4,0.0018,0,0.0048,0.0012,0,0,0.0732,0.0012,0.0068,0,0.084,2e-4,0.013,0.0058,0.0012,0.1112,0.0022,0,4e-4,4e-4,0.0014,6e-4,0
case,0.2636,8e-4,4e-4,0.0312,6e-4,0,2e-4,0,0,0.0054,0,0,0.0012,0,0,0,0.0056,0.0652,2e-4,0.0232,0.0028,6e-4,0.0134,0.002,0.0052,0.001,0,0,2e-4
case,0.001,0.07,0.0194,0.002,0.1806,4e-4,4e-4,0,2e-4,0,0,0,0.0106,0,0,0,0.0874,4e-4,0.0586,0,0,0,0,0,0,0,0,0.0102,0
case,0,0.0698,0.0162,0.004,0.214,2e-4,0,0,4e-4,0,0,0,0.0126,0,0,0,0.0616,6e-4,0.0486,4e-4,0,0,2e-4,0,0,0,2e-4,0.0088,0
nondiarrheal_control,0.1126,2e-4,0.0924,0.247,6e-4,0,0.116,6e-4,0.1248,0,2e-4,2e-4,0.0094,0.0264,0,0,0.0238,0,0.0088,0.0156,0,0,0,0.0032,0,0.0166,0.0428,0.004,0.0018
nondiarrheal_control,0.1878,0,0,0.1932,0,0,0,0,0,0,0.0814,0.1466,0.0144,0.0494,0.0352,0,0.0034,0.0112,0.002,0.005,0.0122,0.0048,0,0.0362,0,0.001,0,4e-4,0
nondiarrheal_control,0,0.0288,2e-4,2e-4,6e-4,0,0,2e-4,0,0.1364,0,0,0.0042,0,0,0,0.0144,0,0.0392,0.012,0.0118,0,0,0,0,0.0036,0,8e-4,0
nondiarrheal_control,0.2298,0.1496,0,0.0298,0,0.0178,0.009,2e-4,0,0.0762,0.0274,0.0326,0.0038,0.0386,0.0546,0.0014,0.014,0,0.0584,0.001,0.0032,0.0646,0.0016,0.0024,0.0038,0,0,0.0016,0.0022
case,0.3114,0.0168,0,0,2e-4,0,0,2e-4,0,0.0148,0,0,0.011,0,0.1868,0,4e-4,0,0.005,0.0122,0.0074,0.002,0.0794,0.0038,0.0068,0,2e-4,6e-4,0.0048
nondiarrheal_control,0.187,0.0058,0.0068,0.093,0.0228,0.0356,0.0232,6e-4,2e-4,0.0146,0.0016,0,0,0.0046,0,0.001,4e-4,0.0106,0,2e-4,0.0018,0,8e-4,0.0022,0,0,0.0014,0,0
nondiarrheal_control,6e-4,6e-4,8e-4,0.5902,0,0.0028,0.0016,0.0782,0,0,0,0.0012,4e-4,0,0.0072,0,0,0,0.0048,0,0,0,0,0,0,0,0,0,0
case,0.1236,0.0904,0,0.0514,0.001,0.0746,0.0936,6e-4,0.0574,0,0.0648,0.0602,0.0046,0,0,0,0,0,0.001,0.0034,0.0222,0,0,4e-4,0.018,8e-4,0.038,4e-4,0
case,0.282,0.0012,4e-4,0.1238,0.0016,0,0.0328,0,0,0.0808,0,0,6e-4,0,0,0,0.0052,0.0562,6e-4,0.0014,0.0102,0,0,0.0026,0,2e-4,0,4e-4,0
case,0.001,0,0.5906,0.0012,0,4e-4,0,0.0338,0,2e-4,2e-4,0,0,0,2e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nondiarrheal_control,0.1772,0.055,0,0.0688,0.0606,0.0104,0.0192,0,0,8e-4,0.015,0,0.044,0.0224,0.0166,0.0082,0.0302,0,4e-4,0,0,0,0.001,0.0022,0,0.0028,2e-4,0.0014,0
nondiarrheal_control,0.2312,0.0574,2e-4,0.067,0.0396,2e-4,0.0676,6e-4,0,0,0,0,0.0346,0,0,0.0208,0.0054,0,2e-4,0,0.039,0.0028,0,0.0076,0.006,0.0068,2e-4,6e-4,0.0074
case,0.2838,0.0472,0,0.0032,4e-4,0.0708,0.0028,0,0,0.0054,0.0012,0.0016,0.0236,0.0364,0.0048,4e-4,0.0146,0,0.0314,0.0094,0,0,0.0054,0.0026,2e-4,0,0,0.0066,2e-4
case,0.0528,0.0058,0,0.0358,0,2e-4,0.0488,0,0.03,0,0.0348,0.0972,0.0026,0,0,0.0362,0.0016,0.002,0.002,0.0084,0.0014,0.0016,0,2e-4,0.0076,0.004,0,0,8e-4
nondiarrheal_control,0.211,0.0102,0.0028,0.105,0.019,0.0512,0.0344,0,0,0.0108,0.004,0,6e-4,0.0166,0,0.0044,0,0.0384,0,2e-4,0.0056,0.0042,0.0034,0.0014,4e-4,0,0.0048,2e-4,0
nondiarrheal_control,0.1176,0,0.0798,0.0878,0.0034,0.0678,0,0,0.0914,0,0.011,0,0.0048,0,0,0,0.0088,0.068,0.001,0.0106,0.0038,0.0088,0.0108,0.0018,0.007,4e-4,0.0042,0.001,0
